ElectionYear,CandidateName,HomeState,Incumbent?,CandParty,CandPartyAbbrev,PopularVote,PopVoteShare,ElectoralVotes,ElecVoteShare
2004,Michael Peroutka,Maryland,N,Constitution (1999),CT,143630,0.12%,0,0.00%
2004,David Cobb,Texas,N,Green,G,119859,0.10%,0,0.00%
2004,Leonard Peltier,Pennsylvania,N,Peace and Freedom,PF,27607,0.02%,0,0.00%
2004,Walt Brown,Oregon,N,Socialist,S,10837,0.01%,0,0.00%
2004,Roger Calero,New York,N,Socialist Workers,SW,3689,0.00%,0,0.00%
2004,Thomas Harens,Minnesota,N,Christian Freedom,CF,2387,0.00%,0,0.00%
2008,Barack H. Obama II,Illinois,N,Democratic,D,69498516,52.93%,365,67.84%
2008,John S. McCain III,Arizona,N,Republican,R,59948323,45.65%,173,32.16%
2008,Ralph Nader,Connecticut,N,Independent,I,739034,0.56%,0,0.00%
2008,Bob Barr,Georgia,N,Libertarian,LT,523715,0.40%,0,0.00%
2008,Chuck Baldwin,Florida,N,Constitution (1999),CT,199750,0.15%,0,0.00%
2008,Cynthia McKinney,Georgia,N,Green,G,161797,0.12%,0,0.00%
2008,Alan Keyes,New York,N,America Independent,AI,47941,0.04%,0,0.00%
2012,Barack H. Obama II,Illinois,Y,Democratic,D,65915795,51.06%,332,61.71%
2012,Mitt Romney,Massachusetts,N,Republican,R,60933504,47.20%,206,38.29%
2012,Gary E. Johnson,New Mexico,N,Libertarian,LT,1275971,0.99%,0,0.00%
2012,Jill E. Stein,Massachusetts,N,Green,G,469627,0.36%,0,0.00%
2012,Virgil H. Goode Jr.,Virginia,N,Constitution (1999),CT,122389,0.09%,0,0.00%
2012,Roseanne C. Barr,Utah,N,Peace and Freedom,PF,67326,0.05%,0,0.00%
2012,Ross C. Anderson,Utah,N,Justice,J,43018,0.03%,0,0.00%
2012,Thomas C. Hoefling,Nebraska,N,America's,AS,40628,0.03%,0,0.00%
2016,Donald J. Trump,New York,N,Republican,R,62984828,46.09%,306,56.88%
2016,Hillary R. Clinton,New York,N,Democratic,D,65853514,48.18%,232,43.12%
2016,Gary E. Johnson,New Mexico,N,Libertarian,LT,4489341,3.28%,0,0.00%
2016,Jill E. Stein,Massachusetts,N,Green,G,1457218,1.07%,0,0.00%
2016,Evan McMullin,Utah,N,Independent,I,731991,0.54%,0,0.00%
2016,Darrell Castle,Tennessee,N,Constitution (1999),CT,203090,0.15%,0,0.00%
2016,Gloria La Riva,California,N,Socialism and Liberation,PSL,74401,0.05%,0,0.00%
2020,Joseph R. Biden Jr.,Delaware,N,Democratic,D,81268924,51.31%,306,56.88%
2020,Donald J. Trump,Florida,N,Republican,R,74216154,46.86%,232,43.12%
2020,Jo Jorgensen,South Carolina,N,Libertarian,LT,1865724,1.18%,0,0.00%
2020,Howard G. Hawkins,New York,N,Green,G,405035,0.26%,0,0.00%
